Date,PX_LAST,AVERAGE_BID_ASK_SPREAD,EQY_WEIGHTED_AVG_PX,PX_VOLUME
23-Jun-22,4.4,0.0106,4.4016,8632307
24-Jun-22,4.43,0.0104,4.4295,5344712
27-Jun-22,4.44,0.0104,4.4307,13940380
28-Jun-22,4.46,0.0102,4.4497,13545165
29-Jun-22,4.42,0.0102,4.4298,16836288
30-Jun-22,4.37,0.0102,4.4028,29041256
1-Jul-22,4.42,0.0101,4.3986,14767295
4-Jul-22,4.39,0.0103,4.3987,6948241
5-Jul-22,4.41,0.0103,4.4088,12933041
6-Jul-22,4.39,0.0102,4.4102,14741404
7-Jul-22,4.36,0.01,4.3817,8531649
8-Jul-22,4.4,0.01,4.388,6207590
12-Jul-22,4.4,0.0102,4.3892,5809441
13-Jul-22,4.37,0.0102,4.3784,10705899
14-Jul-22,4.4,0.0103,4.3875,7445181
15-Jul-22,4.4,0.0101,4.3875,7077842
18-Jul-22,4.39,0.0102,4.3866,11310255
19-Jul-22,4.4,0.0101,4.3984,12538753
20-Jul-22,4.43,0.0101,4.4187,15566237
21-Jul-22,4.44,0.0101,4.4377,9273809
22-Jul-22,4.57,0.0103,4.5507,16924533
25-Jul-22,4.62,0.0101,4.6022,12776346
26-Jul-22,4.6,0.0102,4.6024,10907947
27-Jul-22,4.6,0.0103,4.6036,9189635
28-Jul-22,4.64,0.0101,4.6455,11959398
29-Jul-22,4.64,0.0102,4.6339,14655180
1-Aug-22,4.64,0.0104,4.6197,7972602
2-Aug-22,4.66,0.0102,4.6316,8710339
3-Aug-22,4.61,0.0101,4.6032,13129092
4-Aug-22,4.65,0.0103,4.6225,21825892
5-Aug-22,4.63,0.0103,4.6291,15284525
8-Aug-22,4.64,0.0101,4.6375,11521756
9-Aug-22,4.66,0.0107,4.6567,9230843
10-Aug-22,4.63,0.0101,4.6283,13678895
11-Aug-22,4.65,0.0102,4.6487,18054850
12-Aug-22,4.65,0.0108,4.6578,13425330
15-Aug-22,4.66,0.0101,4.6635,14367527
16-Aug-22,4.65,0.0101,4.6464,13102301
17-Aug-22,4.65,0.0103,4.6553,14319310
18-Aug-22,4.65,0.0102,4.6552,13407738
19-Aug-22,4.61,0.0102,4.6314,7798100
22-Aug-22,4.59,0.0102,4.5924,9127919
